"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
"Total"	"10-14 years"	"10-14"	"Female"	"F"	"2021 (provisional)"	"2021"			275	10159455	2.7
"Total"	"10-14 years"	"10-14"	"Female"	"F"					275	10159455	2.7
	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	22	10594968	0.2
	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	157	10594968	1.5
	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	42	10594968	0.4
	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	22	10594968	0.2
	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	117	10594968	1.1
"Total"	"10-14 years"	"10-14"	"Male"	"M"	"2021 (provisional)"	"2021"			390	10594968	3.7
"Total"	"10-14 years"	"10-14"	"Male"	"M"					390	10594968	3.7
"Total"	"10-14 years"	"10-14"							665	20754423	3.2
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	15	10266332	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	277	10266332	2.7
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	154	10266332	1.5
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	31	10266332	0.3
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	50	10266332	0.5
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	265	10266332	2.6
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	35	10266332	0.3
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	99	10266332	1.0
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	20	10266332	0.2
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	12	10266332	Unreliable
	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	11	10266332	Unreliable
"Total"	"15-19 years"	"15-19"	"Female"	"F"	"2021 (provisional)"	"2021"			1044	10266332	10.2
"Total"	"15-19 years"	"15-19"	"Female"	"F"					1044	10266332	10.2
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	32	10694597	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	679	10694597	6.3
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	339	10694597	3.2
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	24	10694597	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	12	10694597	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	40	10694597	0.4
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	22	10694597	0.2
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	503	10694597	4.7
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	16	10694597	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	242	10694597	2.3
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	178	10694597	1.7
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	624	10694597	5.8
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	60	10694597	0.6
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	34	10694597	0.3
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by crashing of motor vehicle"	"X82"	12	10694597	Unreliable
	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	14	10694597	Unreliable
"Total"	"15-19 years"	"15-19"	"Male"	"M"	"2021 (provisional)"	"2021"			2896	10694597	27.1
"Total"	"15-19 years"	"15-19"	"Male"	"M"					2896	10694597	27.1
"Total"	"15-19 years"	"15-19"							3940	20960929	18.8
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	12	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	15	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	88	10561909	0.8
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	734	10561909	6.9
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	708	10561909	6.7
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	12	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	34	10561909	0.3
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	13	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	82	10561909	0.8
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	17	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	243	10561909	2.3
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	68	10561909	0.6
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	13	10561909	Unreliable
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	153	10561909	1.4
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	36	10561909	0.3
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	20	10561909	0.2
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	30	10561909	0.3
	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	32	10561909	0.3
"Total"	"20-24 years"	"20-24"	"Female"	"F"	"2021 (provisional)"	"2021"			2424	10561909	23.0
"Total"	"20-24 years"	"20-24"	"Female"	"F"					2424	10561909	23.0
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	11	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	17	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	21	11032846	0.2
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	12	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	161	11032846	1.5
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	2071	11032846	18.8
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1469	11032846	13.3
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	60	11032846	0.5
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	32	11032846	0.3
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	89	11032846	0.8
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	48	11032846	0.4
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	11	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	837	11032846	7.6
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	26	11032846	0.2
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	548	11032846	5.0
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	221	11032846	2.0
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	1402	11032846	12.7
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by smoke, fire and flames"	"X76"	14	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	25	11032846	0.2
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	107	11032846	1.0
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	60	11032846	0.5
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by crashing of motor vehicle"	"X82"	19	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified, undetermined intent"	"Y11"	10	11032846	Unreliable
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	56	11032846	0.5
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	62	11032846	0.6
	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"	"Sequelae of assault"	"Y87.1"	10	11032846	Unreliable
"Total"	"20-24 years"	"20-24"	"Male"	"M"	"2021 (provisional)"	"2021"			7490	11032846	67.9
"Total"	"20-24 years"	"20-24"	"Male"	"M"					7490	11032846	67.9
"Total"	"20-24 years"	"20-24"							9914	21594755	45.9
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	37	11356117	0.3
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	36	11356117	0.3
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	41	11356117	0.4
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	28	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	16	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	22	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	64	11356117	0.6
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	12	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	14	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	25	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	141	11356117	1.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	1110	11356117	9.8
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	1299	11356117	11.4
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	27	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	27	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	10	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	86	11356117	0.8
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	11	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	295	11356117	2.6
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by drowning and submersion"	"X71"	12	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by handgun discharge"	"X72"	87	11356117	0.8
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	10	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	196	11356117	1.7
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by sharp object"	"X78"	10	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping from a high place"	"X80"	22	11356117	0.2
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Intentional self-harm by jumping or lying before moving object"	"X81"	19	11356117	Unreliable
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	49	11356117	0.4
	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	56	11356117	0.5
"Total"	"25-29 years"	"25-29"	"Female"	"F"	"2021 (provisional)"	"2021"			3834	11356117	33.8
"Total"	"25-29 years"	"25-29"	"Female"	"F"					3834	11356117	33.8
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, harmful use"	"F10.1"	103	11875126	0.9
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, dependence syndrome"	"F10.2"	93	11875126	0.8
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of alcohol, unspecified mental and behavioural disorder"	"F10.9"	11	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"	"F15.1"	13	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"	"F15.9"	10	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"	"F19.1"	52	11875126	0.4
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"	"F19.9"	30	11875126	0.3
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic fatty liver"	"K70.0"	21	11875126	0.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatitis"	"K70.1"	59	11875126	0.5
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic cirrhosis of liver"	"K70.3"	130	11875126	1.1
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic hepatic failure"	"K70.4"	28	11875126	0.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Alcoholic liver disease, unspecified"	"K70.9"	24	11875126	0.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Other and unspecified cirrhosis of liver"	"K74.6"	40	11875126	0.3
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics"	"X40"	12	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	384	11875126	3.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	3519	11875126	29.6
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	3173	11875126	26.7
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Accidental poisoning by and exposure to alcohol"	"X45"	103	11875126	0.9
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X61"	28	11875126	0.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X62"	12	11875126	Unreliable
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	82	11875126	0.7
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	60	11875126	0.5
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-poisoning by and exposure to other and unspecified chemicals and noxious substances"	"X69"	20	11875126	0.2
	"25-29 years"	"25-29"	"Male"	"M"	"2021 (provisional)"	"2021"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	1175	11875126	9.9
