"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Cause of death"	"Cause of death Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	12	10357700	Unreliable
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	20	10357700	0.2
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	11	9855664	Unreliable
	"10-14 years"	"10-14"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	48	10357700	0.5
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	33	10007875	0.3
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	135	10520197	1.3
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	13	10520197	Unreliable
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	26	10520197	0.2
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	12	10007875	Unreliable
	"10-14 years"	"10-14"	"2000"	"2000"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	51	10520197	0.5
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	33	10231469	0.3
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	130	10747209	1.2
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	14	10747209	Unreliable
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	18	10747209	Unreliable
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	12	10231469	Unreliable
	"10-14 years"	"10-14"	"2001"	"2001"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	37	10747209	0.3
	"10-14 years"	"10-14"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	34	10371422	0.3
	"10-14 years"	"10-14"	"2002"	"2002"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	120	10889999	1.1
	"10-14 years"	"10-14"	"2002"	"2002"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	11	10889999	Unreliable
	"10-14 years"	"10-14"	"2002"	"2002"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	48	10889999	0.4
	"10-14 years"	"10-14"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	32	10444875	0.3
	"10-14 years"	"10-14"	"2003"	"2003"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	120	10970478	1.1
	"10-14 years"	"10-14"	"2003"	"2003"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	16	10970478	Unreliable
	"10-14 years"	"10-14"	"2003"	"2003"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	39	10970478	0.4
	"10-14 years"	"10-14"	"2004"	"2004"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	10	10967974	Unreliable
	"10-14 years"	"10-14"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	70	10443706	0.7
	"10-14 years"	"10-14"	"2004"	"2004"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	134	10967974	1.2
	"10-14 years"	"10-14"	"2004"	"2004"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	18	10967974	Unreliable
	"10-14 years"	"10-14"	"2004"	"2004"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	24	10967974	0.2
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	48	10348382	0.5
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	124	10864197	1.1
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	14	10864197	Unreliable
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	18	10864197	Unreliable
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	11	10348382	Unreliable
	"10-14 years"	"10-14"	"2005"	"2005"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	40	10864197	0.4
	"10-14 years"	"10-14"	"2006"	"2006"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	10	10771194	Unreliable
	"10-14 years"	"10-14"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	46	10261944	0.4
	"10-14 years"	"10-14"	"2006"	"2006"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	91	10771194	0.8
	"10-14 years"	"10-14"	"2006"	"2006"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	16	10771194	Unreliable
	"10-14 years"	"10-14"	"2006"	"2006"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	30	10771194	0.3
	"10-14 years"	"10-14"	"2007"	"2007"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	15	10670960	Unreliable
	"10-14 years"	"10-14"	"2007"	"2007"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	12	10670960	Unreliable
	"10-14 years"	"10-14"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	40	10170082	0.4
	"10-14 years"	"10-14"	"2007"	"2007"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	79	10670960	0.7
	"10-14 years"	"10-14"	"2007"	"2007"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	10	10670960	Unreliable
	"10-14 years"	"10-14"	"2007"	"2007"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	28	10670960	0.3
	"10-14 years"	"10-14"	"2008"	"2008"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	10	10598181	Unreliable
	"10-14 years"	"10-14"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	44	10108474	0.4
	"10-14 years"	"10-14"	"2008"	"2008"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	97	10598181	0.9
	"10-14 years"	"10-14"	"2008"	"2008"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	12	10598181	Unreliable
	"10-14 years"	"10-14"	"2008"	"2008"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	21	10598181	0.2
	"10-14 years"	"10-14"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	70	10088732	0.7
	"10-14 years"	"10-14"	"2009"	"2009"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	111	10571832	1.0
	"10-14 years"	"10-14"	"2009"	"2009"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	13	10571832	Unreliable
	"10-14 years"	"10-14"	"2009"	"2009"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	12	10571832	Unreliable
	"10-14 years"	"10-14"	"2009"	"2009"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	28	10571832	0.3
	"10-14 years"	"10-14"	"2010"	"2010"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	13	10579862	Unreliable
	"10-14 years"	"10-14"	"2010"	"2010"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	67	10097332	0.7
	"10-14 years"	"10-14"	"2010"	"2010"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	101	10579862	1.0
	"10-14 years"	"10-14"	"2010"	"2010"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	16	10579862	Unreliable
	"10-14 years"	"10-14"	"2010"	"2010"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	14	10579862	Unreliable
	"10-14 years"	"10-14"	"2010"	"2010"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	38	10579862	0.4
	"10-14 years"	"10-14"	"2011"	"2011"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	64	10117822	0.6
	"10-14 years"	"10-14"	"2011"	"2011"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	113	10587030	1.1
	"10-14 years"	"10-14"	"2011"	"2011"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	19	10587030	Unreliable
	"10-14 years"	"10-14"	"2011"	"2011"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	17	10587030	Unreliable
	"10-14 years"	"10-14"	"2011"	"2011"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	44	10587030	0.4
	"10-14 years"	"10-14"	"2012"	"2012"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	65	10102004	0.6
	"10-14 years"	"10-14"	"2012"	"2012"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	130	10567214	1.2
	"10-14 years"	"10-14"	"2012"	"2012"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	16	10567214	Unreliable
	"10-14 years"	"10-14"	"2012"	"2012"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	17	10567214	Unreliable
	"10-14 years"	"10-14"	"2012"	"2012"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	57	10567214	0.5
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	107	10097931	1.1
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	124	10552523	1.2
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	28	10552523	0.3
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	21	10552523	0.2
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	12	10097931	Unreliable
	"10-14 years"	"10-14"	"2013"	"2013"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	66	10552523	0.6
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	97	10120287	1.0
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	128	10551219	1.2
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	13	10120287	Unreliable
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	32	10551219	0.3
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	27	10551219	0.3
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	23	10120287	0.2
	"10-14 years"	"10-14"	"2014"	"2014"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	77	10551219	0.7
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	100	10101942	1.0
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	134	10520388	1.3
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	27	10520388	0.3
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	16	10520388	Unreliable
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	24	10101942	0.2
	"10-14 years"	"10-14"	"2015"	"2015"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	67	10520388	0.6
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	119	10099501	1.2
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	128	10518732	1.2
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	26	10518732	0.2
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	23	10518732	0.2
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	23	10099501	0.2
	"10-14 years"	"10-14"	"2016"	"2016"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	77	10518732	0.7
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	16	10173382	Unreliable
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	100	10173382	1.0
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	180	10605072	1.7
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	35	10605072	0.3
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	19	10605072	Unreliable
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	23	10173382	0.2
	"10-14 years"	"10-14"	"2017"	"2017"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	101	10605072	1.0
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	11	10220687	Unreliable
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	141	10220687	1.4
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	220	10658840	2.1
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	11	10220687	Unreliable
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	48	10658840	0.5
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	19	10658840	Unreliable
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	30	10220687	0.3
	"10-14 years"	"10-14"	"2018"	"2018"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	91	10658840	0.9
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	16	10180007	Unreliable
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	138	10180007	1.4
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	179	10618261	1.7
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	31	10618261	0.3
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	26	10618261	0.2
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	26	10180007	0.3
	"10-14 years"	"10-14"	"2019"	"2019"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	82	10618261	0.8
	"10-14 years"	"10-14"	"2020 "	"2020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	13	10159455	Unreliable
	"10-14 years"	"10-14"	"2020 "	"2020"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	18	10594968	Unreliable
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	18	10159455	Unreliable
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	137	10159455	1.3
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	175	10594968	1.7
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	53	10594968	0.5
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	21	10594968	0.2
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	26	10159455	0.3
	"10-14 years"	"10-14"	"2020 "	"2020"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	115	10594968	1.1
	"15-19 years"	"15-19"	"1999"	"1999"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	10	10323033	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	11	10323033	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	27	9761569	0.3
	"15-19 years"	"15-19"	"1999"	"1999"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	90	10323033	0.9
	"15-19 years"	"15-19"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	16	9761569	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	52	10323033	0.5
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	22	9761569	0.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	17	10323033	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	28	10323033	0.3
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	87	9761569	0.9
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	347	10323033	3.4
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by drowning and submersion"	"X71"	"Male"	"M"	10	10323033	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	39	9761569	0.4
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	141	10323033	1.4
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	11	9761569	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	192	10323033	1.9
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Female"	"F"	58	9761569	0.6
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by other and unspecified firearm discharge"	"X74"	"Male"	"M"	534	10323033	5.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by jumping from a high place"	"X80"	"Female"	"F"	12	9761569	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by jumping from a high place"	"X80"	"Male"	"M"	26	10323033	0.3
	"15-19 years"	"15-19"	"1999"	"1999"	"Intentional self-harm by jumping or lying before moving object"	"X81"	"Male"	"M"	17	10323033	Unreliable
	"15-19 years"	"15-19"	"1999"	"1999"	"Poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified, undetermined intent"	"Y12"	"Male"	"M"	22	10323033	0.2
	"15-19 years"	"15-19"	"1999"	"1999"	"Poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, undetermined intent"	"Y14"	"Male"	"M"	12	10323033	Unreliable
	"15-19 years"	"15-19"	"2000"	"2000"	"Mental and behavioural disorders due to use of alcohol, acute intoxication"	"F10.0"	"Male"	"M"	12	10391004	Unreliable
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to antiepileptic, sedative-hypnotic, antiparkinsonism and psychotropic drugs, not elsewhere classified"	"X41"	"Male"	"M"	17	10391004	Unreliable
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Female"	"F"	25	9828886	0.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to narcotics and psychodysleptics [hallucinogens], not elsewhere classified"	"X42"	"Male"	"M"	111	10391004	1.1
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Female"	"F"	33	9828886	0.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X44"	"Male"	"M"	93	10391004	0.9
	"15-19 years"	"15-19"	"2000"	"2000"	"Accidental poisoning by and exposure to alcohol"	"X45"	"Male"	"M"	11	10391004	Unreliable
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Female"	"F"	22	9828886	0.2
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other and unspecified drugs, medicaments and biological substances"	"X64"	"Male"	"M"	24	10391004	0.2
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-poisoning by and exposure to other gases and vapours"	"X67"	"Male"	"M"	29	10391004	0.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Female"	"F"	100	9828886	1.0
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by hanging, strangulation and suffocation"	"X70"	"Male"	"M"	414	10391004	4.0
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Female"	"F"	24	9828886	0.2
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by handgun discharge"	"X72"	"Male"	"M"	135	10391004	1.3
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Female"	"F"	14	9828886	Unreliable
	"15-19 years"	"15-19"	"2000"	"2000"	"Intentional self-harm by rifle, shotgun and larger firearm discharge"	"X73"	"Male"	"M"	201	10391004	1.9
